MAC Address,Device Type
AB-DF-8A-E6-0B-39,B_2
7E-9B-92-4A-01-DC,D_4
9F-CA-9B-AD-D7-94,D_4
04-15-2C-B3-DC-C0,D_4
59-5F-63-9A-E8-3A,A_1
C2-0A-75-2D-9A-8F,A_1
DF-CF-B2-F0-E2-F4,C_3
B1-E1-27-5D-40-95,C_3
13-CD-77-5C-7A-02,D_4
D4-0E-67-F0-E8-E0,D_4
4B-5D-EB-2C-80-31,C_3
34-98-D0-4A-08-66,D_4
C1-67-F1-8A-5C-3F,B_2
FD-BD-E2-B3-16-62,C_3
09-93-D4-3F-9D-20,A_1
58-78-64-3E-6E-E5,A_1
4F-EB-12-2F-AA-3B,C_3
C5-4D-DB-D9-1D-83,B_2
FB-D2-AF-F7-63-9F,B_2
E8-77-2A-90-28-35,B_2
C4-08-B0-68-B6-4D,D_4
63-A2-6B-63-B7-B6,A_1
68-90-7F-2D-53-E8,B_2
CE-92-C5-3B-FD-79,B_2
38-08-96-43-20-D7,D_4
63-55-83-28-AA-E9,A_1
7F-5F-13-FD-64-07,C_3
17-F4-9C-EF-E6-C8,A_1
B4-94-78-11-1B-85,D_4
E0-25-EA-87-1B-25,C_3
D7-90-F1-B7-21-CF,C_3
26-CF-C3-85-03-45,D_4
3C-64-73-AF-C1-9E,B_2
69-1D-C1-41-90-5E,C_3
A0-D3-85-A6-F2-D5,C_3
0D-E5-57-75-20-7E,B_2
5B-C1-DA-1D-5F-91,C_3
83-DA-7D-B8-AC-FE,D_4
C3-AA-9B-18-07-2C,A_1
2F-17-4F-5D-74-12,B_2
59-A9-D3-4D-DA-F3,D_4
A2-C1-8B-1E-83-0D,D_4
2C-17-09-58-8A-08,A_1
AE-E0-BA-A3-41-B8,D_4
C9-E1-CC-63-CA-C4,C_3
47-A8-05-27-6E-28,D_4
67-7F-C3-6F-BE-1C,D_4
64-5E-9C-81-72-49,C_3
32-E2-62-52-D9-05,A_1
9A-DD-C6-F2-BA-B6,A_1
83-8D-B8-D8-E9-62,A_1
F8-D8-B3-17-D5-51,A_1
B1-41-53-16-9A-26,D_4
11-CB-A7-0B-7C-E2,D_4
8F-F3-5E-3B-31-A2,A_1
7D-D5-3D-E2-2A-B6,B_2
02-CB-7B-7D-E9-77,C_3
E2-C9-F7-45-8A-6C,B_2
9A-8A-C0-61-9F-C4,B_2
DC-E9-7E-CD-CA-47,B_2
1B-D6-0A-F6-92-EC,C_3
2C-57-39-F1-FA-3A,B_2
4E-23-55-AA-34-80,A_1
DB-6A-4C-59-CF-9F,B_2
5A-5D-E8-70-57-A2,C_3
94-34-D6-64-3D-65,B_2
B8-90-E9-1D-46-7E,C_3
6F-47-20-DB-66-7F,D_4
B1-41-32-B0-F0-D1,C_3
FA-21-80-65-69-74,C_3
7A-5D-BD-81-FC-EF,D_4
C6-F8-FC-8E-E0-1E,B_2
DD-FA-0B-9D-CC-83,D_4
01-11-14-1F-BC-09,D_4
50-21-09-65-C1-82,B_2
DB-F2-33-64-2E-B2,C_3
2C-80-F2-EB-5B-DA,B_2
1E-23-AA-85-3F-C2,A_1
F1-97-AE-6F-F9-B0,B_2
94-9E-49-D4-DB-5C,D_4
7F-89-28-26-6F-BC,C_3
7D-80-56-2F-F3-0C,B_2
29-17-15-E3-58-4A,D_4
50-C7-09-B6-A4-1B,A_1
8C-91-E6-2A-95-77,B_2
9C-8E-94-12-FA-15,D_4
0A-CF-CA-E8-41-23,B_2
18-F2-C8-60-D6-9C,C_3
DF-5D-87-9C-6F-AB,D_4
07-C5-84-72-A8-5C,D_4
14-90-22-FE-78-AA,A_1
E4-08-C4-A4-FB-D3,C_3
A9-9E-D0-20-7D-F1,A_1
0E-B9-F6-50-A7-18,A_1
02-F3-22-30-B8-B3,C_3
7D-FA-C4-D2-01-63,D_4
E5-76-D4-D4-17-A9,D_4
C0-39-D9-A4-BE-91,B_2
41-9E-F8-E7-A7-20,C_3
87-BA-5D-72-52-FC,B_2
B8-C3-B9-FF-4B-0E,A_1
E9-91-E4-71-F1-12,A_1
91-55-CA-37-91-D9,A_1
9C-34-14-CC-DD-29,D_4
9A-E3-B3-8F-4F-FD,C_3
BF-7A-6A-D4-82-76,C_3
22-62-99-9E-74-5E,A_1
B8-23-79-BD-57-6F,B_2
8E-90-57-36-39-83,C_3
C9-56-80-86-5A-30,D_4
0D-09-87-43-67-63,A_1
79-E5-BA-56-C4-E5,A_1
87-C5-97-35-9C-AD,B_2
11-3A-1F-1F-83-7D,A_1
62-FE-20-6F-A5-49,D_4
33-F3-CF-2C-A3-A6,D_4
C1-3D-BB-F4-35-AA,A_1
32-5D-3C-61-D5-C9,D_4
94-D4-8E-5C-A3-4E,D_4
1C-E4-35-C4-FC-FA,C_3
63-16-EA-A9-AC-F9,C_3
AE-AA-EF-62-2F-49,D_4
66-19-1A-0A-FF-D0,A_1
18-DF-01-B0-F5-96,D_4
D9-D7-BC-14-E9-8C,D_4
25-C4-00-D1-15-38,D_4
D8-4F-BA-11-63-19,D_4
78-51-E6-01-5D-CC,B_2
F9-E9-D5-7A-43-52,A_1
93-F0-CA-78-CA-BE,A_1
5B-E1-36-83-CF-A8,C_3
BE-31-F0-D8-46-FF,D_4
96-69-12-49-FA-35,C_3
98-DC-32-53-2B-C4,B_2
92-9F-C5-08-32-2F,B_2
E1-5E-29-80-00-59,D_4
D2-9C-26-47-0D-67,B_2
5D-CA-D4-74-20-AB,B_2
F3-6B-8B-BF-CB-7D,B_2
72-F9-D0-F1-45-16,B_2
6E-F9-19-42-8C-21,A_1
79-38-64-DF-9C-E8,A_1
41-AD-9D-9B-3A-BA,C_3
E9-F3-E4-19-EB-5A,B_2
7E-8E-CC-0F-95-51,D_4
F7-03-D9-06-E4-7F,D_4
2C-2A-19-9D-9B-EE,B_2
8C-15-01-42-33-9C,C_3
BD-D9-3D-3D-03-5C,A_1
B2-B0-69-CC-2A-FC,A_1
B9-C7-CE-32-40-9B,A_1
7E-BF-27-E4-7D-C7,B_2
98-BE-D4-99-DC-42,D_4
00-1A-D2-04-0E-BA,A_1
5D-7A-8B-BF-00-D1,C_3
C5-0D-DA-64-23-90,A_1
63-AE-35-D7-FC-87,D_4
80-11-78-74-9B-BF,A_1
88-63-CF-A0-C3-A6,D_4
0B-DA-95-47-92-A4,B_2
95-B6-AD-3A-5C-FF,A_1
A5-E6-F6-DF-5A-5D,A_1
53-75-42-47-30-90,A_1
79-B7-15-19-2C-E7,B_2
48-19-43-75-14-80,D_4
C0-16-AB-DE-14-B1,C_3
96-79-E7-C6-51-E8,B_2
41-BC-B3-EE-01-AD,D_4
B9-6D-71-52-2E-BD,A_1
D6-C8-6D-38-0B-2B,D_4
F4-82-A5-89-B0-C4,D_4
5B-FC-16-33-C0-81,C_3
B3-3F-82-0A-21-26,A_1
33-54-BC-D7-67-83,C_3
DA-00-0C-8E-8B-83,A_1
C1-73-85-63-DD-34,B_2
E1-3B-74-F8-D1-22,A_1
46-A8-4B-83-C3-FA,D_4
C4-D1-19-C2-32-04,B_2
6A-C0-81-0F-B3-C9,C_3
B9-01-64-A3-DF-10,A_1
A1-F5-35-C8-25-60,A_1
3F-4B-51-DE-45-E1,B_2
9E-83-F8-72-89-25,C_3
7E-17-69-17-66-02,B_2
FA-0F-FD-40-14-E1,D_4
32-70-B3-50-35-99,D_4
FF-FF-DD-00-7E-4D,B_2
02-8D-DD-C9-C9-1C,C_3
74-82-E0-6C-44-82,C_3
74-6F-15-8A-E2-94,D_4
59-26-70-23-06-C8,D_4
CC-8D-54-9A-2C-D5,D_4
B1-BC-C0-B1-8C-D9,C_3
42-95-B2-82-AB-01,C_3
99-E8-00-52-90-B8,D_4
2A-7D-45-1B-AE-F8,A_1
B4-3B-F2-BB-0C-54,D_4
33-2A-BD-9D-08-AE,D_4
7A-D8-0F-65-0E-4A,D_4
FA-8E-84-D4-7C-F1,A_1
70-16-58-7C-BD-C8,C_3
64-D4-BE-CB-0F-49,D_4
AF-F8-E7-3A-CD-F6,A_1
E5-F2-34-6F-CC-A2,D_4
3A-6F-06-79-99-DA,C_3
1A-EE-70-D6-F5-43,D_4
ED-2D-14-0E-EB-2B,D_4
59-97-3D-B7-7C-BB,C_3
EF-8A-14-30-64-30,C_3
93-9D-7F-E9-D8-BB,D_4
26-BE-0D-1C-6D-89,B_2
EA-AF-37-35-D9-2F,B_2
99-51-98-E8-78-43,D_4
1E-CF-E3-45-53-84,C_3
7D-5E-90-B9-5D-09,B_2
F8-F7-E8-97-C1-9C,C_3
CB-D3-28-84-C3-0D,B_2
0A-57-6A-2A-1E-AD,A_1
C2-C7-43-55-8B-C6,B_2
D5-7F-3C-72-CD-BF,A_1
E5-68-97-D3-CC-7A,A_1
22-D6-95-5B-F3-1F,B_2
5C-A7-78-B5-D8-A4,B_2
C1-4D-7B-5E-17-92,C_3
84-4F-E8-61-D5-2C,A_1
24-FD-44-0B-BB-FA,D_4
B6-7A-64-34-E2-3D,A_1
05-B6-48-DD-B6-6F,C_3
39-70-2C-E1-00-DE,A_1
CE-E3-3D-4C-22-8A,A_1
44-BE-6C-6C-17-22,A_1
F6-56-65-DE-04-80,B_2
A5-A5-27-68-2F-E0,B_2
96-C7-41-44-34-27,C_3
90-F4-8A-BB-12-AB,C_3
32-56-94-5B-41-C1,A_1
6D-09-8C-13-53-DE,C_3
BF-54-89-6F-D3-74,D_4
26-A0-2C-60-62-C6,D_4
4E-22-89-20-B6-90,B_2
69-D0-85-51-B6-7F,B_2
2B-2B-E6-DB-95-8B,C_3
A1-E2-BE-14-B2-4E,B_2
85-0E-6B-C6-44-03,A_1
6E-83-50-84-A6-81,D_4
12-29-45-A7-4D-3C,C_3
D5-1E-B9-CF-DE-E7,A_1
0D-94-EB-65-CC-A8,C_3
F3-86-8F-E5-55-50,B_2
CF-2C-F3-66-89-79,D_4
54-B1-DB-3B-4D-39,C_3
FB-94-F9-16-F9-FD,D_4
07-A8-8B-B6-C6-D6,A_1
4B-02-FD-93-C7-FE,A_1
54-05-78-DB-F9-D1,B_2
10-4A-16-4B-21-82,C_3
34-5F-12-83-CB-83,A_1
C6-35-42-91-B3-03,C_3
1E-27-F5-34-52-61,C_3
30-CF-D3-11-80-C3,D_4
D3-75-07-1E-B3-8F,A_1
02-5F-B7-D5-67-C1,C_3
D4-09-5C-19-43-E8,C_3
36-71-9E-E4-70-07,D_4
FE-0D-3C-CB-AC-57,C_3
64-2D-9B-BD-40-2F,B_2
40-3D-2C-00-5F-AD,D_4
CD-55-C7-61-0C-06,C_3
D4-FD-A0-BC-6B-48,D_4
DF-72-A0-6F-F1-92,C_3
7B-D7-F5-59-67-BE,D_4
4E-81-FA-DF-CC-FC,B_2
2F-51-57-4F-38-DF,B_2
7D-19-5F-D8-26-D6,D_4
E3-6F-FE-8B-81-D5,A_1
47-CA-69-C2-97-63,A_1
81-56-1D-0A-E4-CD,A_1
7F-AD-2F-13-36-CE,A_1
C4-57-51-6F-5E-6A,A_1
DC-E4-14-69-E2-FF,D_4
EF-4F-48-BD-27-9C,C_3
82-B0-ED-37-46-5D,C_3
58-CF-B2-D0-C2-56,B_2
FF-16-11-7B-26-EE,B_2
2A-ED-42-F7-F1-B1,C_3
50-CD-1A-6B-E6-1B,D_4
FB-D1-71-36-D1-C3,C_3
69-23-B2-A6-41-5F,C_3
8C-A8-9C-7F-00-4A,D_4
58-C8-90-E9-3A-A6,C_3
2C-6C-6C-D0-64-D5,D_4
3E-8B-C0-53-90-44,C_3
8A-8B-27-DC-FD-A8,B_2
9D-D3-2C-8A-28-31,B_2
7D-C6-D1-90-F6-23,D_4
FC-2B-05-EB-E3-8E,B_2
7E-5F-FB-36-97-18,C_3
B6-B2-93-D6-F5-0F,D_4
62-C4-53-2E-B2-F5,D_4
45-77-5C-BC-A2-C6,B_2
42-42-6F-BE-B7-01,B_2
B2-FB-54-AC-E9-CC,D_4
E1-2B-B4-39-BE-06,D_4
30-7E-48-86-AF-6F,D_4
E9-08-18-8A-77-74,C_3
5A-8D-C2-91-BC-A0,D_4
C8-CE-1A-AA-9E-A2,A_1
FA-19-0F-D0-92-04,A_1
94-B4-B6-D9-6C-61,A_1
24-1C-86-C5-B0-A5,D_4
89-BF-7F-C1-2E-38,D_4
BF-C9-10-AF-5D-45,A_1
28-AB-B5-75-B2-65,B_2
A0-3E-FD-22-A0-CD,D_4
FB-B3-68-8B-99-25,D_4
54-E9-55-54-1B-A3,D_4
12-05-E1-78-A4-1A,B_2
D7-01-9F-78-FE-F5,A_1
BA-78-D7-AF-9E-BC,D_4
1D-9C-F7-89-CA-B0,A_1
C5-02-19-5E-6C-88,C_3
A4-CA-78-C9-D9-5D,B_2
B1-45-37-22-FC-24,D_4
16-C1-59-8A-57-DE,A_1
81-E5-BE-F9-7D-C5,A_1
41-47-EF-A5-1D-06,C_3
7B-80-59-CA-82-97,A_1
B6-EE-BF-DB-F5-75,A_1
